Rank,Title,Theaters,Total Gross,Release Date,Distributor,Year,title_clean,is_rerelease
1,Barbie,4337,594254460,2023-07-21 00:00:00,Warner Bros.,2023,barbie,False
2,The Super Mario Bros. Movie,4371,574759600,2023-04-05 00:00:00,Universal Pictures,2023,the super mario bros. movie,False
3,Spider-Man: Across the Spider-Verse,4332,381178195,2023-06-02 00:00:00,Columbia Pictures,2023,spider-man: across the spider-verse,False
4,Guardians of the Galaxy Vol. 3,4450,358995815,2023-05-05 00:00:00,Walt Disney Studios Motion Pictures,2023,guardians of the galaxy vol. 3,False
5,Oppenheimer,3761,300144670,2023-07-21 00:00:00,Universal Pictures,2023,oppenheimer,False
6,The Little Mermaid,4320,297895447,2023-05-26 00:00:00,Walt Disney Studios Motion Pictures,2023,the little mermaid,False
7,Avatar: The Way of Water,4340,684075767,2023-12-16 00:00:00,20th Century Studios,2023,avatar: the way of water,False
8,Ant-Man and the Wasp: Quantumania,4345,214504909,2023-02-17 00:00:00,Walt Disney Studios Motion Pictures,2023,ant-man and the wasp: quantumania,False
9,John Wick: Chapter 4,3855,187131806,2023-03-24 00:00:00,Lionsgate,2023,john wick: chapter 4,False
10,Sound of Freedom,3411,180587629,2023-07-04 00:00:00,Angel Studios,2023,sound of freedom,False
11,Indiana Jones and the Dial of Destiny,4600,174116627,2023-06-30 00:00:00,Walt Disney Studios Motion Pictures,2023,indiana jones and the dial of destiny,False
12,Mission: Impossible - Dead Reckoning Part One,4327,168248955,2023-07-12 00:00:00,Paramount Pictures,2023,mission: impossible - dead reckoning part one,False
13,Transformers: Rise of the Beasts,3680,157066392,2023-06-09 00:00:00,Paramount Pictures,2023,transformers: rise of the beasts,False
14,Creed III,4007,156248615,2023-03-03 00:00:00,United Artists Releasing,2023,creed iii,False
15,Elemental,4035,151692473,2023-06-16 00:00:00,Walt Disney Studios Motion Pictures,2023,elemental,False
16,Fast X,4088,145960660,2023-05-19 00:00:00,Universal Pictures,2023,fast x,False
17,Puss in Boots: The Last Wish,4121,185535345,2023-12-21 00:00:00,Universal Pictures,2023,puss in boots: the last wish,False
18,Scream VI,3676,108161389,2023-03-10 00:00:00,Paramount Pictures,2023,scream vi,False
19,The Flash,4256,108133313,2023-06-16 00:00:00,Warner Bros.,2023,the flash,False
20,Teenage Mutant Ninja Turtles: Mutant Mayhem,3950,99847538,2023-08-02 00:00:00,Paramount Pictures,2023,teenage mutant ninja turtles: mutant mayhem,False
21,M3GAN,3628,95043350,2023-01-06 00:00:00,Universal Pictures,2023,m3gan,False
22,Dungeons & Dragons: Honor Among Thieves,3856,93277026,2023-03-31 00:00:00,Paramount Pictures,2023,dungeons & dragons: honor among thieves,False
23,Insidious: The Red Door,3188,82042800,2023-07-07 00:00:00,Screen Gems,2023,insidious: the red door,False
24,Meg 2: The Trench,3604,74469810,2023-08-04 00:00:00,Warner Bros.,2023,meg 2: the trench,False
25,Evil Dead Rise,3417,67233054,2023-04-21 00:00:00,Warner Bros.,2023,evil dead rise,False
26,Cocaine Bear,3571,64388510,2023-02-24 00:00:00,Universal Pictures,2023,cocaine bear,False
27,A Man Called Otto,3957,64267657,2023-12-30 00:00:00,Columbia Pictures,2023,a man called otto,False
28,Haunted Mansion,3740,62291150,2023-07-28 00:00:00,Walt Disney Studios Motion Pictures,2023,haunted mansion,False
29,Shazam! Fury of the Gods,4071,57638006,2023-03-17 00:00:00,Warner Bros.,2023,shazam! fury of the gods,False
30,Air,3507,52460106,2023-04-05 00:00:00,Unknown,2023,air,False
31,Jesus Revolution,2575,52102987,2023-02-24 00:00:00,Lionsgate,2023,jesus revolution,False
32,No Hard Feelings,3208,50452282,2023-06-23 00:00:00,Sony Pictures Entertainment (SPE),2023,no hard feelings,False
33,Blue Beetle,3871,46566539,2023-08-18 00:00:00,Warner Bros.,2023,blue beetle,False
34,The Boogeyman,3205,43244282,2023-06-02 00:00:00,Walt Disney Studios Motion Pictures,2023,the boogeyman,False
35,Talk to Me,2379,41066389,2023-07-28 00:00:00,A24,2023,talk to me,False
36,80 for Brady,3939,39330588,2023-02-03 00:00:00,Paramount Pictures,2023,80 for brady,False
37,Knock at the Cabin,3657,35397980,2023-02-03 00:00:00,Universal Pictures,2023,knock at the cabin,False
38,Missing,3025,32502025,2023-01-20 00:00:00,Sony Pictures Entertainment (SPE),2023,missing,False
39,Plane,3060,32111181,2023-01-13 00:00:00,Lionsgate,2023,plane,False
